gun;cut_off_time;kabul_ili;varis_ili;gonderi_turu;id;varýs_gunu
2;17:30:00;2;38;KARGO;353;NULL
2;17:30:00;2;38;MEKTUP;354;NULL
2;17:30:00;2;39;APG;355;NULL
2;17:30:00;2;39;KARGO;356;NULL
2;17:30:00;2;39;MEKTUP;357;NULL
2;17:30:00;2;40;APG;358;NULL
2;17:30:00;2;40;KARGO;359;NULL
2;17:30:00;2;40;MEKTUP;360;NULL
2;17:30:00;2;41;APG;361;NULL
2;17:30:00;2;41;KARGO;362;NULL
2;17:30:00;2;41;MEKTUP;363;NULL
2;17:30:00;2;42;APG;364;NULL
2;17:30:00;2;42;KARGO;365;NULL
2;17:30:00;2;42;MEKTUP;366;NULL
2;17:30:00;2;43;APG;367;NULL
2;17:30:00;2;43;KARGO;368;NULL
2;17:30:00;2;43;MEKTUP;369;NULL
1;17:30:00;2;44;APG;370;NULL
1;17:30:00;2;44;KARGO;371;NULL
1;17:30:00;2;44;MEKTUP;372;NULL
2;17:30:00;2;45;APG;373;NULL
2;17:30:00;2;45;KARGO;374;NULL
2;17:30:00;2;45;MEKTUP;375;NULL
1;17:30:00;2;46;APG;376;NULL
1;17:30:00;2;46;KARGO;377;NULL
1;17:30:00;2;46;MEKTUP;378;NULL
2;17:30:00;2;47;APG;379;NULL
2;17:30:00;2;47;KARGO;380;NULL
2;17:30:00;2;47;MEKTUP;381;NULL
3;17:30:00;2;48;APG;382;NULL
3;17:30:00;2;48;KARGO;383;NULL
3;17:30:00;2;48;MEKTUP;384;NULL
2;17:30:00;2;49;APG;385;NULL
2;17:30:00;2;49;KARGO;386;NULL
2;17:30:00;2;49;MEKTUP;387;NULL
2;17:30:00;2;50;APG;388;NULL
2;17:30:00;2;50;KARGO;389;NULL
2;17:30:00;2;50;MEKTUP;390;NULL
2;17:30:00;2;51;APG;391;NULL
2;17:30:00;2;51;KARGO;392;NULL
2;17:30:00;2;51;MEKTUP;393;NULL
3;17:30:00;2;52;APG;394;NULL
3;17:30:00;2;52;KARGO;395;NULL
3;17:30:00;2;52;MEKTUP;396;NULL
2;17:30:00;2;53;APG;397;NULL
2;17:30:00;2;53;KARGO;398;NULL
2;17:30:00;2;53;MEKTUP;399;NULL
2;17:30:00;2;54;APG;400;NULL
2;17:30:00;2;54;KARGO;401;NULL
2;17:30:00;2;54;MEKTUP;402;NULL
2;17:30:00;2;55;APG;403;NULL
2;17:30:00;2;55;KARGO;404;NULL
2;17:30:00;2;55;MEKTUP;405;NULL
2;17:30:00;2;56;APG;406;NULL
2;17:30:00;2;56;KARGO;407;NULL
2;17:30:00;2;56;MEKTUP;408;NULL
3;17:30:00;2;57;APG;409;NULL
3;17:30:00;2;57;KARGO;410;NULL
3;17:30:00;2;57;MEKTUP;411;NULL
2;17:30:00;2;58;APG;412;NULL
2;17:30:00;2;58;KARGO;413;NULL
2;17:30:00;2;58;MEKTUP;414;NULL
2;17:30:00;2;59;APG;415;NULL
2;17:30:00;2;59;KARGO;416;NULL
2;17:30:00;2;59;MEKTUP;417;NULL
2;17:30:00;2;60;APG;418;NULL
2;17:30:00;2;60;KARGO;419;NULL
2;17:30:00;2;60;MEKTUP;420;NULL
2;17:30:00;2;61;APG;421;NULL
2;17:30:00;2;61;KARGO;422;NULL
2;17:30:00;2;61;MEKTUP;423;NULL
2;17:30:00;2;62;APG;424;NULL
2;17:30:00;2;62;KARGO;425;NULL
2;17:30:00;2;62;MEKTUP;426;NULL
1;17:30:00;2;63;APG;427;NULL
1;17:30:00;2;63;KARGO;428;NULL
1;17:30:00;2;63;MEKTUP;429;NULL
2;17:30:00;2;64;APG;430;NULL
2;17:30:00;2;64;KARGO;431;NULL
2;17:30:00;2;64;MEKTUP;432;NULL
2;17:30:00;2;65;APG;433;NULL
2;17:30:00;2;65;KARGO;434;NULL
2;17:30:00;2;65;MEKTUP;435;NULL
2;17:30:00;2;66;APG;436;NULL
2;17:30:00;2;66;KARGO;437;NULL
2;17:30:00;2;66;MEKTUP;438;NULL
2;17:30:00;2;67;APG;439;NULL
2;17:30:00;2;67;KARGO;440;NULL
2;17:30:00;2;67;MEKTUP;441;NULL
2;17:30:00;2;68;APG;442;NULL
2;17:30:00;2;68;KARGO;443;NULL
2;17:30:00;2;68;MEKTUP;444;NULL
3;17:30:00;2;69;APG;445;NULL
3;17:30:00;2;69;KARGO;446;NULL
3;17:30:00;2;69;MEKTUP;447;NULL
2;17:30:00;2;70;APG;448;NULL
2;17:30:00;2;70;KARGO;449;NULL
2;17:30:00;2;70;MEKTUP;450;NULL
3;17:30:00;2;71;APG;451;NULL
3;17:30:00;2;71;KARGO;452;NULL
3;17:30:00;2;71;MEKTUP;453;NULL
2;17:30:00;2;72;APG;454;NULL
2;17:30:00;2;72;KARGO;455;NULL
2;17:30:00;2;72;MEKTUP;456;NULL
2;17:30:00;2;73;APG;457;NULL
2;17:30:00;2;73;KARGO;458;NULL
3;17:30:00;2;73;MEKTUP;459;NULL
2;17:30:00;2;74;APG;460;NULL
2;17:30:00;2;74;KARGO;461;NULL
2;17:30:00;2;74;MEKTUP;462;NULL
3;17:30:00;2;75;APG;463;NULL
3;17:30:00;2;75;KARGO;464;NULL
3;17:30:00;2;75;MEKTUP;465;NULL
3;17:30:00;2;76;APG;466;NULL
3;17:30:00;2;76;KARGO;467;NULL
3;17:30:00;2;76;MEKTUP;468;NULL
2;17:30:00;2;77;APG;469;NULL
2;17:30:00;2;77;KARGO;470;NULL
2;17:30:00;2;77;MEKTUP;471;NULL
2;17:30:00;2;78;APG;472;NULL
2;17:30:00;2;78;KARGO;473;NULL
3;17:30:00;2;78;MEKTUP;474;NULL
1;17:30:00;2;79;APG;475;NULL
1;17:30:00;2;79;KARGO;476;NULL
1;17:30:00;2;79;MEKTUP;477;NULL
1;17:30:00;2;80;APG;478;NULL
1;17:30:00;2;80;KARGO;479;NULL
1;17:30:00;2;80;MEKTUP;480;NULL
2;17:30:00;2;81;APG;481;NULL
2;17:30:00;2;81;KARGO;482;NULL
2;17:30:00;2;81;MEKTUP;483;NULL
1;12:55:00;3;1;APG;484;NULL
1;12:55:00;3;1;KARGO;485;NULL
1;12:55:00;3;1;MEKTUP;486;NULL
2;17:30:00;3;2;APG;487;NULL
2;17:30:00;3;2;KARGO;488;NULL
2;17:30:00;3;2;MEKTUP;489;NULL
2;17:30:00;3;4;APG;490;NULL
2;17:30:00;3;4;KARGO;491;NULL
2;17:30:00;3;4;MEKTUP;492;NULL
2;17:30:00;3;5;APG;493;NULL
2;17:30:00;3;5;KARGO;494;NULL
2;17:30:00;3;5;MEKTUP;495;NULL
1;17:30:00;3;6;APG;496;NULL
1;17:30:00;3;6;KARGO;497;NULL
1;17:30:00;3;6;MEKTUP;498;NULL
1;17:30:00;3;7;APG;499;NULL
1;17:30:00;3;7;KARGO;500;NULL
1;17:30:00;3;7;MEKTUP;501;NULL
2;17:30:00;3;8;APG;502;NULL
2;17:30:00;3;8;KARGO;503;NULL
2;17:30:00;3;8;MEKTUP;504;NULL
2;17:30:00;3;9;APG;505;NULL
2;17:30:00;3;9;KARGO;506;NULL
2;17:30:00;3;9;MEKTUP;507;NULL
1;17:30:00;3;10;APG;508;NULL
1;17:30:00;3;10;KARGO;509;NULL
1;17:30:00;3;10;MEKTUP;510;NULL
1;17:30:00;3;11;APG;511;NULL
1;17:30:00;3;11;KARGO;512;NULL
1;17:30:00;3;11;MEKTUP;513;NULL
2;17:30:00;3;12;APG;514;NULL
2;17:30:00;3;12;KARGO;515;NULL
